"st_fips","state","estimate","moe","year","child_age","child_parent"
4,"Arizona",341169,11332,2023,"12-17","Married Couple"
4,"Arizona",16715,3796,2023,"00-02","Single Parent (Dad)"
4,"Arizona",14219,2389,2023,"03-04","Single Parent (Dad)"
4,"Arizona",4483,1354,2023,"05","Single Parent (Dad)"
4,"Arizona",40492,5637,2023,"06-11","Single Parent (Dad)"
4,"Arizona",43846,5616,2023,"12-17","Single Parent (Dad)"
4,"Arizona",33116,4531,2023,"00-02","Single Parent (Mom)"
4,"Arizona",30047,4778,2023,"03-04","Single Parent (Mom)"
4,"Arizona",14783,2892,2023,"05","Single Parent (Mom)"
4,"Arizona",102051,8129,2023,"06-11","Single Parent (Mom)"
4,"Arizona",115191,7901,2023,"12-17","Single Parent (Mom)"
5,"Arkansas",62215,4176,2011,"00-02","Married Couple"
5,"Arkansas",48526,3819,2011,"03-04","Married Couple"
5,"Arkansas",21887,2547,2011,"05","Married Couple"
5,"Arkansas",140375,5905,2011,"06-11","Married Couple"
5,"Arkansas",130499,5760,2011,"12-17","Married Couple"
5,"Arkansas",8376,2221,2011,"00-02","Single Parent (Dad)"
5,"Arkansas",3866,1046,2011,"03-04","Single Parent (Dad)"
5,"Arkansas",2244,855,2011,"05","Single Parent (Dad)"
5,"Arkansas",11057,2191,2011,"06-11","Single Parent (Dad)"
5,"Arkansas",16348,2518,2011,"12-17","Single Parent (Dad)"
5,"Arkansas",25649,3399,2011,"00-02","Single Parent (Mom)"
5,"Arkansas",18626,2634,2011,"03-04","Single Parent (Mom)"
5,"Arkansas",7874,1660,2011,"05","Single Parent (Mom)"
5,"Arkansas",58906,4280,2011,"06-11","Single Parent (Mom)"
5,"Arkansas",62428,4530,2011,"12-17","Single Parent (Mom)"
5,"Arkansas",62357,3940,2013,"00-02","Married Couple"
5,"Arkansas",45716,3149,2013,"03-04","Married Couple"
5,"Arkansas",24475,2776,2013,"05","Married Couple"
5,"Arkansas",135513,5859,2013,"06-11","Married Couple"
5,"Arkansas",139143,5295,2013,"12-17","Married Couple"
5,"Arkansas",8578,1859,2013,"00-02","Single Parent (Dad)"
5,"Arkansas",4489,1246,2013,"03-04","Single Parent (Dad)"
5,"Arkansas",4742,1564,2013,"05","Single Parent (Dad)"
5,"Arkansas",14812,2416,2013,"06-11","Single Parent (Dad)"
5,"Arkansas",14396,2567,2013,"12-17","Single Parent (Dad)"
5,"Arkansas",22885,2676,2013,"00-02","Single Parent (Mom)"
5,"Arkansas",17435,2317,2013,"03-04","Single Parent (Mom)"
5,"Arkansas",11412,1989,2013,"05","Single Parent (Mom)"
5,"Arkansas",56167,4643,2013,"06-11","Single Parent (Mom)"
5,"Arkansas",53834,4560,2013,"12-17","Single Parent (Mom)"
5,"Arkansas",63311,2804,2015,"00-02","Married Couple"
5,"Arkansas",41231,3161,2015,"03-04","Married Couple"
5,"Arkansas",22473,2718,2015,"05","Married Couple"
5,"Arkansas",143560,5823,2015,"06-11","Married Couple"
5,"Arkansas",136214,5763,2015,"12-17","Married Couple"
5,"Arkansas",9358,2045,2015,"00-02","Single Parent (Dad)"
5,"Arkansas",4988,1366,2015,"03-04","Single Parent (Dad)"
5,"Arkansas",2445,1066,2015,"05","Single Parent (Dad)"
5,"Arkansas",13948,2541,2015,"06-11","Single Parent (Dad)"
5,"Arkansas",12523,2335,2015,"12-17","Single Parent (Dad)"
5,"Arkansas",22213,2632,2015,"00-02","Single Parent (Mom)"
5,"Arkansas",16523,2194,2015,"03-04","Single Parent (Mom)"
5,"Arkansas",7423,1429,2015,"05","Single Parent (Mom)"
5,"Arkansas",53604,4191,2015,"06-11","Single Parent (Mom)"
5,"Arkansas",49867,4092,2015,"12-17","Single Parent (Mom)"
5,"Arkansas",63645,3372,2017,"00-02","Married Couple"
5,"Arkansas",42848,2987,2017,"03-04","Married Couple"
5,"Arkansas",23324,2495,2017,"05","Married Couple"
5,"Arkansas",143445,5929,2017,"06-11","Married Couple"
5,"Arkansas",137437,4794,2017,"12-17","Married Couple"
5,"Arkansas",9084,2178,2017,"00-02","Single Parent (Dad)"
5,"Arkansas",4326,1350,2017,"03-04","Single Parent (Dad)"
5,"Arkansas",2856,1005,2017,"05","Single Parent (Dad)"
5,"Arkansas",13240,2324,2017,"06-11","Single Parent (Dad)"
5,"Arkansas",14568,2372,2017,"12-17","Single Parent (Dad)"
5,"Arkansas",20326,2403,2017,"00-02","Single Parent (Mom)"
5,"Arkansas",17489,2541,2017,"03-04","Single Parent (Mom)"
5,"Arkansas",7938,2038,2017,"05","Single Parent (Mom)"
5,"Arkansas",57450,5045,2017,"06-11","Single Parent (Mom)"
5,"Arkansas",51089,3896,2017,"12-17","Single Parent (Mom)"
5,"Arkansas",54203,3363,2019,"00-02","Married Couple"
5,"Arkansas",45605,3244,2019,"03-04","Married Couple"
5,"Arkansas",21083,3051,2019,"05","Married Couple"
5,"Arkansas",137666,5872,2019,"06-11","Married Couple"
5,"Arkansas",138376,6320,2019,"12-17","Married Couple"
5,"Arkansas",8059,1750,2019,"00-02","Single Parent (Dad)"
5,"Arkansas",5996,1571,2019,"03-04","Single Parent (Dad)"
5,"Arkansas",1924,691,2019,"05","Single Parent (Dad)"
5,"Arkansas",12495,2098,2019,"06-11","Single Parent (Dad)"
5,"Arkansas",16617,2927,2019,"12-17","Single Parent (Dad)"
5,"Arkansas",22368,3262,2019,"00-02","Single Parent (Mom)"
5,"Arkansas",17947,3049,2019,"03-04","Single Parent (Mom)"
5,"Arkansas",8465,1677,2019,"05","Single Parent (Mom)"
5,"Arkansas",51594,4664,2019,"06-11","Single Parent (Mom)"
5,"Arkansas",52398,4251,2019,"12-17","Single Parent (Mom)"
5,"Arkansas",58850,4275,2021,"00-02","Married Couple"
5,"Arkansas",42880,3129,2021,"03-04","Married Couple"
5,"Arkansas",21299,2804,2021,"05","Married Couple"
5,"Arkansas",132889,5912,2021,"06-11","Married Couple"
5,"Arkansas",143756,6733,2021,"12-17","Married Couple"
5,"Arkansas",7169,1625,2021,"00-02","Single Parent (Dad)"
5,"Arkansas",5289,1472,2021,"03-04","Single Parent (Dad)"
5,"Arkansas",1996,916,2021,"05","Single Parent (Dad)"
5,"Arkansas",15056,3354,2021,"06-11","Single Parent (Dad)"
5,"Arkansas",17561,3247,2021,"12-17","Single Parent (Dad)"
5,"Arkansas",23067,2569,2021,"00-02","Single Parent (Mom)"
5,"Arkansas",16402,3047,2021,"03-04","Single Parent (Mom)"
5,"Arkansas",9599,2028,2021,"05","Single Parent (Mom)"
5,"Arkansas",53038,4505,2021,"06-11","Single Parent (Mom)"
5,"Arkansas",56208,4886,2021,"12-17","Single Parent (Mom)"
5,"Arkansas",59815,2935,2023,"00-02","Married Couple"
5,"Arkansas",42992,2928,2023,"03-04","Married Couple"
5,"Arkansas",23055,2613,2023,"05","Married Couple"
5,"Arkansas",136256,6267,2023,"06-11","Married Couple"
5,"Arkansas",142107,5654,2023,"12-17","Married Couple"
5,"Arkansas",7743,2054,2023,"00-02","Single Parent (Dad)"
5,"Arkansas",5192,1458,2023,"03-04","Single Parent (Dad)"
5,"Arkansas",2676,1098,2023,"05","Single Parent (Dad)"
5,"Arkansas",16269,2916,2023,"06-11","Single Parent (Dad)"
5,"Arkansas",15288,2951,2023,"12-17","Single Parent (Dad)"
5,"Arkansas",21818,3447,2023,"00-02","Single Parent (Mom)"
5,"Arkansas",14790,2128,2023,"03-04","Single Parent (Mom)"
5,"Arkansas",7188,2287,2023,"05","Single Parent (Mom)"
5,"Arkansas",51521,5254,2023,"06-11","Single Parent (Mom)"
5,"Arkansas",55542,5158,2023,"12-17","Single Parent (Mom)"
6,"California",836492,14567,2011,"00-02","Married Couple"
6,"California",620850,12934,2011,"03-04","Married Couple"
6,"California",321580,9718,2011,"05","Married Couple"
6,"California",1874293,22598,2011,"06-11","Married Couple"
6,"California",1914834,20585,2011,"12-17","Married Couple"
6,"California",109995,6292,2011,"00-02","Single Parent (Dad)"
6,"California",77148,6107,2011,"03-04","Single Parent (Dad)"
6,"California",33141,3204,2011,"05","Single Parent (Dad)"
6,"California",203862,12364,2011,"06-11","Single Parent (Dad)"
6,"California",206611,12225,2011,"12-17","Single Parent (Dad)"
6,"California",227747,10330,2011,"00-02","Single Parent (Mom)"
6,"California",183732,7969,2011,"03-04","Single Parent (Mom)"
